,sent_id,text,label
128,soylent-uist2010.pdf_128,But tasks conveyed to humans can be written in a much more natural way.,
129,soylent-uist2010.pdf_129,"While natural language command interfaces continue to struggle with unconstrained input over a large search space, humans are good at understanding written instructions.",
130,soylent-uist2010.pdf_130,The Human Macro is Soylent's natural language command interface.,
131,soylent-uist2010.pdf_131,Soylent users can use it to request arbitrary work quickly in human language.,
132,soylent-uist2010.pdf_132,Launching the Human Macro opens a request form (Figure 3).,
133,soylent-uist2010.pdf_133,The design challenge here is to ensure that the user creates tasks that are scoped correctly for a Mechanical Turk worker.,
134,soylent-uist2010.pdf_134,We wish to prevent the user from spending money on a buggy command.,
135,soylent-uist2010.pdf_135,"The form dialog is split in two mirrored pieces: a task entry form on the left, and a preview of what the Turker will see on the right.",
136,soylent-uist2010.pdf_136,"The preview contextualizes the user's request, reminding the user he is writing something akin to a Help Wanted or Craigslist advertisement.",
137,soylent-uist2010.pdf_137,"The form suggests that the user provide an example input and output, which is an effective way to clarify the task requirements to workers.",
138,soylent-uist2010.pdf_138,"If the user selected text before opening the dialog, he has the option to split the task by each sentence or paragraph, so (for example) the task might be parallelized across all entries on a list.",
139,soylent-uist2010.pdf_139,The user then chooses how many separate Turkers he would like to complete the task.,
140,soylent-uist2010.pdf_140,The Human Macro helps debug the task by allowing a test run on one sentence or paragraph.,
141,soylent-uist2010.pdf_141,The user chooses whether the Turkers' work should replace the existing text or just annotate it.,
142,soylent-uist2010.pdf_142,"If the user chooses to replace, the Human Macro underlines the text in purple and enables drop-down substitution like the Crowdproof interface.",
143,soylent-uist2010.pdf_143,"If the user chooses to annotate, the feedback populates Figure 3.",
144,soylent-uist2010.pdf_144,The Human Macro is an end-user programming interface for automating document manipulations.,
145,soylent-uist2010.pdf_145,The left half is the user's authoring interface; the right half is a preview of what the Turker will see.,
146,soylent-uist2010.pdf_146,comment bubbles anchored on the selected text by utilizing Word's reviewing comments interface.,
147,soylent-uist2010.pdf_147,TECHNIQUES FOR PROGRAMMING CROWDS This section characterizes the challenges of leveraging crowd labor for open-ended document editing tasks.,
148,soylent-uist2010.pdf_148,We introduce the Find-Fix-Verify pattern to improve output quality in the face of uncertain worker quality.,
149,soylent-uist2010.pdf_149,"Over the past year, we have performed and documented dozens of experiments on Mechanical Turk.5 For this project alone, we have interacted with 8809 Turkers across 2256 different tasks.",
150,soylent-uist2010.pdf_150,We draw on this experience in the sections to follow.,
151,soylent-uist2010.pdf_151,Challenges in Programming with Crowd Workers We are primarily concerned with tasks where workers directly edit a user's data in an open-ended manner.,
152,soylent-uist2010.pdf_152,"These tasks include shortening, proofreading, and user-requested changes such as address formatting.",
153,soylent-uist2010.pdf_153,"In our experiments, it is evident that many of the raw results that Turkers produce on such tasks are unsatisfactory.",
154,soylent-uist2010.pdf_154,"As a rule-of-thumb, roughly 30% of the results from open-ended tasks are poor.",
155,soylent-uist2010.pdf_155,"This ""30% rule"" is supported by the experimental section of this paper as well.",
156,soylent-uist2010.pdf_156,"Clearly, a 30% error rate is unacceptable to the end user.",
157,soylent-uist2010.pdf_157,"To address the problem, it is important to understand the nature of unsatisfactory responses.",
158,soylent-uist2010.pdf_158,High Variance of Effort Turkers exhibit high variance in the amount of effort they invest in a task.,
159,soylent-uist2010.pdf_159,"We might characterize two useful personas at the ends of the effort spectrum, the Lazy Turker and the Eager Beaver.",
160,soylent-uist2010.pdf_160,The Lazy Turker does as little work as necessary to get paid.,
161,soylent-uist2010.pdf_161,"For example, when asked to proofread the following error-filled paragraph from a high school essay site,6 a Lazy Turker inserted only a single character to correct a spelling mistake.",
162,soylent-uist2010.pdf_162,The change is highlighted: The theme of loneliness features throughout many scenes in Of Mice and Men and is often the dominant theme of sections during this story.,
163,soylent-uist2010.pdf_163,This theme occurs during many circumstances but is not present from start to finish.,
164,soylent-uist2010.pdf_164,In my mind for a theme to be pervasive is must be present during every element of the story.,
165,soylent-uist2010.pdf_165,"There are many themes that are present most of the way through such as sacrifice, friendship and comradeship.",
166,soylent-uist2010.pdf_166,"But in my opinion there is only one theme that is present from beginning to end, this theme is pursuit of dreams.",
167,soylent-uist2010.pdf_167,A first challenge is thus to discourage or prevent workers from such behavior.,
168,soylent-uist2010.pdf_168,Kittur et al.,
169,soylent-uist2010.pdf_169,"attacked the problem of 5 http://groups.csail.mit.edu/uid/deneme/ 6 http://www.essay.org/school/english/ofmiceandmen.txt Lazy Turkers in crowdsourced user studies [12] by adding clearly verifiable, quantitative questions (e.g., ""How many sections does the article have?"")",
170,soylent-uist2010.pdf_170,that forced the Lazy Turker to read the material being studied.,
171,soylent-uist2010.pdf_171,Equally problematic as Lazy Turkers are Eager Beavers.,
172,soylent-uist2010.pdf_172,"Eager Beavers go beyond the task requirements in order to be helpful, but create further work for the user in the process.",
173,soylent-uist2010.pdf_173,"For example, when asked to reword a phrase, one Eager Beaver provided a litany of options: The theme of loneliness features throughout many scenes in Of Mice and Men and is often the principal, significant, primary, preeminent, prevailing, foremost, essential, crucial, vital, critical theme of sections during this story.",
174,soylent-uist2010.pdf_174,"In their zeal, this worker rendered the resulting sentence ungrammatical.",
175,soylent-uist2010.pdf_175,Eager Beavers may also leave extra comments in the document or reformat paragraphs.,
176,soylent-uist2010.pdf_176,It would be problematic to funnel such work back to the user.,
177,soylent-uist2010.pdf_177,Both the Lazy Turker and the Eager Beaver are looking for a way to clearly signal to the requester that they have completed the work.,
178,soylent-uist2010.pdf_178,"Without clear guidelines, the Lazy Turker will choose the path that produces any signal and the Eager Beaver will produce too many signals.",
179,soylent-uist2010.pdf_179,Turkers Introduce Errors Turkers working on complex tasks can accidentally introduce substantial new errors.,
180,soylent-uist2010.pdf_180,"For example, when proofreading paragraphs about the novel Of Mice and Men, Turkers variously changed the title to just Of Mice, replaced existing grammar errors with new errors of their own, and changed the text to state that Of Mice and Men is a movie rather than a novel.",
181,soylent-uist2010.pdf_181,Such errors are compounded if the output of one Turker is used as input for other Turkers.,
182,soylent-uist2010.pdf_182,The Find-Fix-Verify Pattern Our crowdsourced interface algorithms must control the efforts of both the Eager Beaver and Lazy Turker and limit introduction of errors.,
183,soylent-uist2010.pdf_183,"Absent suitable control techniques, the rate of problematic edits is too high to be useful.",
184,soylent-uist2010.pdf_184,"We feel that the state of programming crowds is analogous to that of UI technology before the introduction of design patterns like Model-View-Controller, which codified best practices.",
185,soylent-uist2010.pdf_185,"In this section, we propose the Find-Fix-Verify pattern as one method of programming crowds to reliably complete open-ended tasks that directly edit the user's data.",
186,soylent-uist2010.pdf_186,We describe the pattern and then explain its use in Soylent.,
187,soylent-uist2010.pdf_187,Find-Fix-Verify The Find-Fix-Verify pattern separates open-ended tasks into three stages where workers can make clear contributions.,
188,soylent-uist2010.pdf_188,"The first stage, Find, asks Turkers to identify patches of the user's work that need more attention.",
189,soylent-uist2010.pdf_189,"For example, when proofreading, the Find stage asks for at least one phrase or sentence that needs editing (Figure 4).",
190,soylent-uist2010.pdf_190,Any single Turker may produce a noisy result (e.g. Lazy Turkers might prefer errors near the beginning of a paragraph).,
191,soylent-uist2010.pdf_191,The Find stage aggregates independent opinions to find the most consistently cited problems: multiple independent agreement is typically a strong signal that a crowd is correct.,
192,soylent-uist2010.pdf_192,"the interface needs a default choice, Soylent keeps patches where at least 20% of the workers agree.",
193,soylent-uist2010.pdf_193,These are then fed in parallel into the Fix stage.,
194,soylent-uist2010.pdf_194,The Fix stage recruits workers to revise a patch.,
195,soylent-uist2010.pdf_195,Each task now consists of a constrained edit to an area of interest.,
196,soylent-uist2010.pdf_196,The worker can see the entire paragraph but only edit the text directly containing the patch.,
197,soylent-uist2010.pdf_197,A small number (3–5) of workers propose revisions.,
198,soylent-uist2010.pdf_198,"Even if 30% of work is bad, 3– 5 submissions are sufficient to produce viable alternatives.",
199,soylent-uist2010.pdf_199,The Verify stage performs quality control on revisions.,
200,soylent-uist2010.pdf_200,We randomize the order of the unique alternatives generated in the Fix stage and ask 3–5 new workers to vote on them (Figure 4).,
201,soylent-uist2010.pdf_201,"We either ask Turkers to vote on the best option (when like Crowdproof) or to flag poor suggestions (when the interface requires as many options as possible, like Shortn).",
202,soylent-uist2010.pdf_202,"To ensure that Turkers cannot vote for their own work, we ban all Fix workers from participating in the Verify stage.",
203,soylent-uist2010.pdf_203,Pattern Discussion Why should tasks be split into independent Find-Fix-Verify stages?,
204,soylent-uist2010.pdf_204,"Why not let Turkers find an error and fix it, for increased efficiency and economy?",
205,soylent-uist2010.pdf_205,"Lazy Turkers will always choose the easiest error to fix, so combining Find and Fix will result in poor coverage.",
206,soylent-uist2010.pdf_206,"By splitting Find from Fix, we can direct Lazy Turkers to propose a fix to patches that they might otherwise ignore.",
207,soylent-uist2010.pdf_207,"Additionally, splitting Find and Fix enables us to merge work completed in parallel.",
208,soylent-uist2010.pdf_208,"Had each Turker edited the entire paragraph, we would not know which edits were trying to fix the same problem.",
209,soylent-uist2010.pdf_209,"By splitting Find and Fix, we can map edits to patches and produce a much richer user interface—for example, the multiple options in Crowdproof's replacement dropdown.",
210,soylent-uist2010.pdf_210,The Verify stage reduces noise in the returned result.,
211,soylent-uist2010.pdf_211,"Anecdotally, Turkers are better at vetting suggestions than they are at producing original work.",
212,soylent-uist2010.pdf_212,Independent agreement among Verify workers can help certify an edit as good or bad.,
213,soylent-uist2010.pdf_213,Verification trades off time lag with quality: a user who can tolerate more error but needs less time lag might opt not to verify work or use fewer verification workers.,
214,soylent-uist2010.pdf_214,One challenge that the Find-Fix-Verify pattern shares with other Mechanical Turk algorithms is that it can stall when workers are slow to accept the task.,
215,soylent-uist2010.pdf_215,"Rather than wait for ten Turkers to complete the Find task before moving on to Fix, a timeout parameter can force our algorithm to advance if a minimum threshold of workers have completed the work.",
216,soylent-uist2010.pdf_216,Find-Fix-Verify in Soylent Both Shortn and Crowdproof use the Find-Fix-Verify pattern.,
217,soylent-uist2010.pdf_217,We will use Shortn as an illustrative example.,
218,soylent-uist2010.pdf_218,"To provide the user with near-continuous control of paragraph length, Shortn should produce many alternative rewrites without changing the meaning of the original text or introduce7 7 Word's grammar checker, eight authors and six reviewers did not catch the error in this sentence.",
219,soylent-uist2010.pdf_219,"Crowdproof later did, and correctly suggested that ""introduce"" should be ""introducing"".",
220,soylent-uist2010.pdf_220,grammatical errors.,
221,soylent-uist2010.pdf_221,Figure 4.,
222,soylent-uist2010.pdf_222,"Find-Fix-Verify identifies patches in need of editing, recruits workers to fix the patches, and votes to approve work.",
223,soylent-uist2010.pdf_223,We begin by splitting the input region into paragraphs.,
224,soylent-uist2010.pdf_224,The Find stage asks ten Turkers to identify candidate areas for shortening in each paragraph.,
225,soylent-uist2010.pdf_225,At least 20% of the Turkers must agree on a text region.,
226,soylent-uist2010.pdf_226,"Each agreed-upon patch moves on to the Fix stage, where five Turkers see it highlighted in the paragraph and are asked to shorten it, as well as determine if the patch can be cut entirely.",
227,soylent-uist2010.pdf_227,We now have a set of rewrites and votes on whether the text can be cut.,
228,soylent-uist2010.pdf_228,"If it can be cut, we introduce the empty string as a rewrite.",
229,soylent-uist2010.pdf_229,"In the Verify stage, five Turkers see a list of all the rewrites where each rewrite has been annotated using color and strikethroughs to highlight its differences from the original.",
230,soylent-uist2010.pdf_230,"Each Turker selects at least one rewrite that has significant spelling, grammar, or style problems, and at least one rewrite that significantly changes the meaning of the original sentence.",
231,soylent-uist2010.pdf_231,We use majority voting to remove problematic rewrites and to decide if the patch can be removed.,
232,soylent-uist2010.pdf_232,"At the end of the Verify stage, we have a set of candidate patches and a list of verified rewrites for each patch.",
233,soylent-uist2010.pdf_233,"To keep the algorithm responsive, we use a 15-minute timeout at each stage.",
234,soylent-uist2010.pdf_234,"We require a minimum of six workers in Find, three workers in Fix, and three workers in Verify.",
235,soylent-uist2010.pdf_235,"When the user specifies a desired maximum length, Shortn searches for the longest combination of rewrites subject to the length constraint.",
236,soylent-uist2010.pdf_236,This search is a special case of the knapsack problem and can be solved with a polynomial time dynamic programming algorithm.,
237,soylent-uist2010.pdf_237,IMPLEMENTATION Soylent consists of a front-end application-level add-in to Microsoft Word and a back-end service to run Mechanical Turk tasks (Figure 4).,
238,soylent-uist2010.pdf_238,The Microsoft Word plug-in is written using Microsoft Visual Studio Tools for Office (VSTO) and the Windows Presentation Foundation (WPF).,
